# Galaxy: UGCA444
# Distance: 0.98 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   0.120     6.48    2.60    -0.66     2.20     0.00       2.83       0.00
   0.190     8.60    2.65     0.47     2.24     0.00       3.38       0.00
   0.260    10.20    3.03     1.82     2.72     0.00       2.43       0.00
   0.330    11.70    3.55     3.08     2.90     0.00       2.23       0.00
   0.400    12.70    3.75     4.20     2.92     0.00       1.76       0.00
   0.470    14.10    3.43     5.32     3.03     0.00       2.11       0.00
   0.550    16.00    3.33     6.65     3.44     0.00       2.00       0.00
   0.620    18.10    2.66     7.97     3.69     0.00       1.59       0.00
   0.690    21.20    3.78     9.25     3.81     0.00       1.38       0.00
   0.760    21.60    3.33    10.36     3.95     0.00       1.39       0.00
   0.830    23.30    3.09    11.58     4.15     0.00       1.29       0.00
   0.900    24.50    3.26    12.39     4.32     0.00       1.17       0.00
   0.970    24.40    3.29    13.10     4.46     0.00       1.08       0.00
   1.040    25.30    2.78    13.71     4.57     0.00       0.99       0.00
   1.110    25.40    2.78    14.22     4.69     0.00       0.91       0.00
   1.190    25.90    2.73    14.63     4.81     0.00       0.83       0.00
   1.260    26.70    2.67    14.83     4.88     0.00       0.76       0.00
   1.330    27.10    3.16    15.03     4.95     0.00       0.70       0.00
   1.400    28.60    3.34    15.13     5.03     0.00       0.64       0.00
   1.480    28.90    3.21    15.24     5.09     0.00       0.58       0.00
   1.550    30.40    4.14    15.34     5.13     0.00       0.54       0.00
   1.620    30.80    4.35    15.54     5.17     0.00       0.49       0.00
   1.690    30.50    4.56    15.54     5.21     0.00       0.45       0.00
   1.750    33.00    4.04    15.54     5.22     0.00       0.42       0.00
   1.830    32.10    4.35    15.64     5.25     0.00       0.38       0.00
   1.900    32.90    4.36    15.64     5.28     0.00       0.35       0.00
   1.970    34.20    4.90    15.64     5.30     0.00       0.32       0.00
   2.040    32.60    3.98    15.64     5.31     0.00       0.30       0.00
   2.110    33.70    4.73    15.74     5.33     0.00       0.27       0.00
   2.190    33.80    4.67    15.64     5.35     0.00       0.25       0.00
   2.260    34.90    3.74    15.64     5.36     0.00       0.23       0.00
   2.330    36.10    5.47    15.64     5.39     0.00       0.21       0.00
   2.400    37.20    5.39    15.24     5.42     0.00       0.19       0.00
   2.480    37.60    7.10    14.73     5.50     0.00       0.17       0.00
   2.550    35.60    4.73    14.22     5.46     0.00       0.00       0.00
   2.620    38.30    7.78    13.81     5.25     0.00       0.00       0.00
