# Galaxy: IC2574
# Distance: 3.91 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   0.850    10.30    0.20     0.00     9.59     0.00      16.75       0.00
   1.140    12.90    2.70     0.00    11.99     0.00      14.92       0.00
   1.420    16.40    1.80     0.94    13.83     0.00      13.07       0.00
   1.710    18.60    2.10     3.44    15.27     0.00      11.58       0.00
   1.990    19.80    2.00     5.14    16.76     0.00      10.80       0.00
   2.280    26.10    0.60     5.82    17.77     0.00       9.24       0.00
   2.550    27.70    2.70     6.87    18.70     0.00       8.42       0.00
   2.840    29.70    2.60     7.58    19.36     0.00       7.37       0.00
   3.130    33.00    3.40     8.21    19.89     0.00       6.93       0.00
   3.410    34.80    1.20     8.78    20.19     0.00       5.88       0.00
   3.700    35.00    0.90     8.64    20.15     0.00       5.69       0.00
   3.980    39.00   10.20     7.98    20.39     0.00       5.87       0.00
   4.260    35.90    5.40     7.97    21.28     0.00       6.08       0.00
   4.550    40.00    4.10    10.01    22.72     0.00       6.50       0.00
   4.840    38.70    1.40    11.42    24.60     0.00       5.76       0.00
   5.120    41.80    0.50    12.67    25.34     0.00       4.60       0.00
   5.410    42.90    0.40    13.13    25.74     0.00       4.30       0.00
   5.680    44.40    1.70    13.93    26.48     0.00       4.03       0.00
   5.970    46.10    1.30    14.50    27.15     0.00       3.42       0.00
   6.260    49.00    0.90    15.98    27.39     0.00       2.76       0.00
   6.540    51.90    0.60    17.58    27.31     0.00       2.14       0.00
   6.830    53.10    2.10    18.38    26.75     0.00       1.67       0.00
   7.100    54.00    0.50    19.29    26.25     0.00       1.55       0.00
   7.390    55.90    1.10    19.86    26.04     0.00       1.54       0.00
   7.680    58.80    3.60    21.01    25.86     0.00       1.40       0.00
   7.960    57.30    4.60    21.81    25.77     0.00       1.25       0.00
   8.250    54.00    9.00    22.49    25.57     0.00       1.12       0.00
   8.520    63.80   12.00    22.38    25.47     0.00       1.02       0.00
   8.810    60.50    6.20    22.60    25.41     0.00       0.92       0.00
   9.100    61.00    5.70    22.95    25.38     0.00       0.83       0.00
   9.380    66.00    1.30    23.63    25.51     0.00       0.75       0.00
   9.670    65.20    3.40    24.89    25.74     0.00       0.67       0.00
   9.960    67.10    4.70    25.80    24.84     0.00       0.00       0.00
  10.230    67.50    9.30    27.17    23.97     0.00       0.00       0.00
